telemetry_id,account_domain,week_start,active_users,sessions_total,feature_depth_score,automation_runs,api_calls,last_login_days_ago,plan_tier,customer_id_fk
TEL-00000,bluepath.com.br,2024-10-12,33,191,0.112,253,1491,19,Starter,CUST-0419
TEL-00001,acmecorp.com.br,2024-05-18,12,81,0.179,339,1473,26,GROWTH,CUST-0400
TEL-00002,bluepath.com.br,2024-08-10,0,0,0.115,399,451,23,Enterprise,CUST-0419
TEL-00003,ampliasolucoes.com.br,2024-10-05,22,194,0.55,154,1154,-1,Business,
TEL-00004,zentra.com.br,2024-11-09,11,54,0.21,135,1849,7,GROWTH,CUST-0412
TEL-00005,zentra.com.br,2024-01-27,29,178,0.213,310,76,4,Business,
TEL-00006,innova.com.br,2024-01-06,60,506,0.226,95,1389,27,Starter,CUST-0416
TEL-00007,bluepath.com.br,2024-03-23,46,247,0.574,275,560,28,Starter,
TEL-00008,bluepath.com.br,2024-07-06,50,307,0.898,166,1851,30,Growth,CUST-0419
TEL-00009,gruponexus.com.br,2025-01-25,17,53,0.904,579,,11,Growth,
TEL-00010,verticetech.com.br,2025-01-11,43,384,0.476,96,938,1,Business,CUST-0403
TEL-00011,verticetech.com.br,2024-01-13,57,566,0.223,23,1827,29,Enterprise,CUST-0403
TEL-00012,tapflow.com.br,2024-09-28,43,210,1.273,698,2908,0,starter,CUST-0415
TEL-00013,gridsoft.com.br,2024-12-21,22,127,1.02,148,1230,1,Business,CUST-0417
TEL-00014,mindbox.com.br,2024-12-28,19,145,0.339,359,1965,24,Starter,CUST-0411
TEL-00015,gridsoft.com.br,2024-03-09,4,15,0.759,228,939,26,Business,
TEL-00016,bluepath.com.br,2024-08-24,58,424,0.981,378,567,10,Growth,CUST-0419
TEL-00017,rushflow.com.br,2024-04-06,57,204,0.558,673,491,4,BUSINESS,CUST-0410
TEL-00018,fluxosistemas.com.br,2024-05-04,46,196,0.934,188,1203,11,Business,CUST-0405
TEL-00019,gridsoft.com.br,2024-05-04,13,60,0.421,386,1171,24,Business,CUST-0417
TEL-00020,orbitdigital.com.br,2024-02-24,47,285,0.651,167,1414,6,Growth,
TEL-00021,skyops.com.br,2024-04-06,13,84,0.903,168,1838,1,growth,CUST-0408
TEL-00022,ampliasolucoes.com.br,2024-08-10,31,196,0.55,471,672,16,Starter,CUST-0413
TEL-00023,betasolutions.com.br,2025-01-11,19,147,0.173,584,1863,12,Enterprise,
TEL-00024,bluepath.com.br,2024-07-06,44,346,0.422,539,917,5,Growth Plan,
TEL-00025,polaris.com.br,2024-08-24,2,19,0.498,163,1442,14,Enterprise,
TEL-00026,corelogic.com.br,2024-07-06,17,135,0.557,372,1157,21,Enterprise,CUST-0414
TEL-00027,acmecorp.com.br,2024-02-17,48,226,0.715,68,,26,growth,
TEL-00028,corelogic.com.br,2024-12-21,12,58,0.23,64,1136,3,Business,
TEL-00029,corelogic.com.br,2024-07-06,19,93,0.496,168,1676,7,Growth,CUST-0414
TEL-00030,acmecorp.com.br,2024-10-12,15,65,0.188,39,804,3,Growth,CUST-0400
TEL-00031,ampliasolucoes.com.br,2024-09-07,58,230,0.36,79,1124,0,Enterprise,CUST-0413
TEL-00032,orbitdigital.com.br,2024-10-26,57,344,0.359,106,1340,23,Growth,
TEL-00033,zentra.com.br,2024-01-13,45,439,0.555,403,1371,18,Enterprise,CUST-0412
TEL-00034,corelogic.com.br,2024-05-04,63,398,0.951,633,57,15,starter,CUST-0414
TEL-00035,gruponexus.com.br,2024-10-26,50,194,1.217,96,623,-1,Business,
TEL-00036,fluxosistemas.com.br,2024-06-08,65,743,0.355,327,1167,0,Growth,CUST-0405
TEL-00037,tapflow.com.br,2024-08-10,31,202,0.42,71,1328,26,growth,
TEL-00038,innova.com.br,2024-12-21,30,198,0.547,240,1057,15,Enterprise,CUST-0416
TEL-00039,acmecorp.com.br,2025-01-11,30,167,0.686,93,1935,16,Business,CUST-0400
TEL-00040,rushflow.com.br,2024-03-02,22,69,0.789,179,1391,11,Business,
TEL-00041,zentra.com.br,2024-12-28,2,12,0.103,461,1512,15,Enterprise,
TEL-00042,betasolutions.com.br,2024-11-16,33,191,0.746,600,,29,Enterprise,
TEL-00043,mindbox.com.br,2025-01-25,10,66,0.54,240,,23,GROWTH,CUST-0411
TEL-00044,gruponexus.com.br,2024-04-13,34,170,0.866,376,504,1,growth,
TEL-00045,bluepath.com.br,2024-12-28,17,83,0.252,418,1586,15,enterprise plan,CUST-0419
TEL-00046,corelogic.com.br,2024-03-30,19,70,0.648,324,,7,Enterprise,CUST-0414
TEL-00047,orbitdigital.com.br,2024-09-28,21,83,0.843,482,900,16,GROWTH,CUST-0404
TEL-00048,fluxosistemas.com.br,2024-08-17,46,380,0.353,476,,-3,Growth,CUST-0405
TEL-00049,bluepath.com.br,2024-01-27,15,143,0.997,448,1200,28,Growth,CUST-0419
TEL-00050,ampliasolucoes.com.br,2024-12-07,10,34,0.815,259,2094,9,Enterprise,CUST-0413
TEL-00051,tapflow.com.br,2024-06-15,5,33,0.721,116,1753,11,Business,
TEL-00052,innova.com.br,2024-08-31,45,504,0.275,547,2734,22,Business,
TEL-00053,connectwave.com.br,2024-10-19,11,76,1.28,664,2400,30,Starter,
TEL-00054,acmecorp.com.br,2024-03-23,37,313,0.458,122,1206,15,Growth,CUST-0400
TEL-00055,orbitdigital.com.br,2024-09-07,53,373,0.994,559,1921,8,Growth Plan,CUST-0404
TEL-00056,betasolutions.com.br,2024-08-17,58,176,0.333,440,473,16,Growth Plan,CUST-0401
TEL-00057,orbitdigital.com.br,2024-07-27,48,468,0.392,434,1569,29,Starter,CUST-0404
TEL-00058,acmecorp.com.br,2024-05-18,34,270,0.182,432,1864,12,Starter,
TEL-00059,polaris.com.br,2024-08-10,34,337,0.539,426,161,16,Business,
TEL-00060,verticetech.com.br,2024-04-06,19,83,0.178,550,98,29,Growth,
TEL-00061,corelogic.com.br,2024-05-18,4,32,0.858,155,,27,Enterprise,CUST-0414
TEL-00062,orbitdigital.com.br,2024-06-22,36,122,0.669,574,451,17,GROWTH,CUST-0404
TEL-00063,tapflow.com.br,2024-05-18,27,250,0.673,365,938,9,Starter,CUST-0415
TEL-00064,tapflow.com.br,2024-11-16,31,144,0.682,19,1213,10,Growth,
TEL-00065,gruponexus.com.br,2024-12-14,56,346,0.893,58,1601,-3,Starter,CUST-0402
TEL-00066,mindbox.com.br,2024-11-23,23,176,0.225,73,390,19,Business,
TEL-00067,gridsoft.com.br,2024-10-05,38,223,0.624,542,,27,Starter,
TEL-00068,gruponexus.com.br,2024-01-20,23,128,0.266,118,538,11,BUSINESS,
TEL-00069,gridsoft.com.br,2024-08-03,31,298,0.192,523,194,2,Enterprise,CUST-0417
TEL-00070,ampliasolucoes.com.br,2024-01-13,8,72,0.648,546,404,10,Business,CUST-0413
TEL-00071,connectwave.com.br,2024-05-04,8,76,0.704,266,90,18,Business,CUST-0407
TEL-00072,dataprime.com.br,2024-07-27,40,364,0.261,104,1195,23,Growth,CUST-0406
TEL-00073,gridsoft.com.br,2024-11-30,48,285,0.852,333,1489,16,growth,CUST-0417
TEL-00074,skyops.com.br,2024-12-07,2,8,0.31,515,1876,10,Enterprise,CUST-0408
TEL-00075,dataprime.com.br,2024-10-19,5,26,0.186,101,299,5,BUSINESS,CUST-0406
TEL-00076,zentra.com.br,2024-03-09,31,179,0.387,190,57,25,starter,CUST-0412
TEL-00077,gridsoft.com.br,2024-06-22,23,217,0.342,394,1011,19,Growth,
TEL-00078,orbitdigital.com.br,2024-10-26,48,231,0.228,185,1210,23,growth,
