opportunity_id,account_name,account_id,segment,stage,amount_brl,close_date,owner_email,forecast_category,created_date,days_in_stage,hubspot_contact_id
OPP-2024000,Zentra Tech,ACC-1112,SMB,Qualification,30776.49,2023-04-06,,Best Case,2024-04-07,26,HS-90459
OPP-2024001,innova,,SMB,Closed Won,14725.5,2024-06-22,joao@raptorsoft.com,Commit,2023-12-11,69,HS-90300
OPP-2024002,ZENTRA,ACC-1112,Enterprise,closed-won,131916.79,2024-03-04,carlos@raptorsoft.com,Omit,2024-01-13,46,HS-90699
OPP-2024003,zentra,ACC-1112,SMB,Qualification,14448.17,2024-08-20,joao@raptorsoft.com,Pipeline,2024-03-07,52,HS-90580
OPP-2024004,dataprime,ACC-1106,Mid-Market,Closed Won,59595.3,2025-01-05,ana.lima@raptorsoft.com,Omit,2024-08-09,12,HS-90163
OPP-2024005,Sky Ops,ACC-1108,SMB,Negotiation,-23519.0,2023-10-01,ana.lima@raptorsoft.com,omit,2024-07-25,93,
OPP-2024006,Polaris,ACC-1118,Enterprise,Closed Lost,405004.32,2025-01-27,joao@raptorsoft.com,Commit,2024-05-01,113,HS-90246
OPP-2024007,polaris,ACC-1118,SMB,Closed_Lost,23644.72,2024-11-30,pedro@raptorsoft.com,Omit,2024-11-09,89,HS-90687
OPP-2024008,SKYOPS,ACC-1108,Mid-Market,Qualification,100597.05,2023-12-07,joao@raptorsoft.com,Pipeline,2023-11-01,10,HS-90219
OPP-2024009,Core Logic,ACC-1114,Enterprise,Qualification,138772.33,2024-12-20,joao@raptorsoft.com,Pipeline,2024-10-27,94,HS-90194
OPP-2024010,GRUPO NEXUS,ACC-1102,SMB,Qualification,7638.47,2025-01-07,ana.lima@raptorsoft.com,Pipeline,2024-10-16,63,
OPP-2024011,Blue Path,,SMB,Discovery,38506.12,2024-10-27,pedro@raptorsoft.com,Best Case,2024-10-08,8,HS-90488
OPP-2024012,GridSoft,ACC-1117,SMB,Closed Lost,25826.23,2024-12-19,mariana@raptorsoft.com,Pipeline,2023-09-21,73,
OPP-2024013,Fluxo,ACC-1105,SMB,Proposal,31315.26,2023-08-07,joao@raptorsoft.com,commit,2024-05-03,48,
OPP-2024014,BluePath,ACC-1119,Mid-Market,Closed Won,109606.65,2023-11-04,pedro@raptorsoft.com,Best Case,2023-07-09,44,HS-90257
OPP-2024015,Innova Tech,ACC-1116,SMB,Closed Lost,5124.1,2024-12-28,joao@raptorsoft.com,Omit,2024-09-06,114,HS-90378
OPP-2024016,Nexus Group,ACC-1102,SMB,Discovery,32864.28,2024-09-15,mariana@raptorsoft.com,Commit,2024-05-11,96,HS-90181
OPP-2024017,Acme Corp,ACC-1100,Mid-Market,Closed Lost,133687.68,2024-12-23,mariana@raptorsoft.com,Omit,2024-06-05,105,
OPP-2024018,AMPLIA SOLUCOES,ACC-1113,SMB,Closed_Lost,14769.37,2025-01-10,ana.lima@raptorsoft.com,commit,2024-04-11,750,HS-90321
OPP-2024019,BLUEPATH,ACC-1119,SMB,Prop,5059.19,2025-01-24,joao@raptorsoft.com,Best Case,2024-01-11,118,HS-90127
OPP-2024020,DataPrime,ACC-1106,SMB,Discovery,15347.93,2024-10-05,joao@raptorsoft.com,Commit,2024-08-22,27,HS-90329
OPP-2024021,Sky Ops,,SMB,Closed Lost,32860.87,2025-01-16,ana.lima@raptorsoft.com,Pipeline,2024-10-27,29,HS-90250
OPP-2024022,Zentra Tech,ACC-1112,Mid-Market,Proposal,116201.51,2024-10-27,joao@raptorsoft.com,Pipeline,2024-10-09,29,
OPP-2024023,INNOVA,ACC-1116,Mid-Market,Closed Won,68075.75,2025-01-30,pedro@raptorsoft.com,Omit,2024-10-18,21,
OPP-2024024,ZENTRA,ACC-1112,Mid-Market,Closed Won,115625.38,2025-01-16,ana.lima@raptorsoft.com,Best Case,2024-11-08,9,
OPP-2024025,Innova Tech,ACC-1116,SMB,Closed Lost,25149.16,2024-08-23,pedro@raptorsoft.com,Omit,2023-07-21,115,
OPP-2024026,Data Prime,ACC-1106,Mid-Market,Closed Won,-45315.34,2024-11-26,ana.lima@raptorsoft.com,omit,2024-08-18,24,
OPP-2024027,TapFlow,ACC-1115,SMB,Discovery,21460.74,2024-10-31,ana.lima@raptorsoft.com,Pipeline,2024-09-04,3,
OPP-2024028,polaris,ACC-1118,Mid-Market,Closed Lost,145648.17,2024-06-10,carlos@raptorsoft.com,Pipeline,2024-03-19,117,
OPP-2024029,AMPLIA SOLUCOES,ACC-1113,Mid-Market,Closed Won,102049.39,2024-11-16,joao@raptorsoft.com,Omit,2023-10-13,750,HS-90370
OPP-2024030,INNOVA,ACC-1116,Mid-Market,Qualification,62409.89,2025-01-19,ana.lima@raptorsoft.com,Commit,2024-09-18,12,HS-90475
OPP-2024031,AMPLIA SOLUCOES,ACC-1113,SMB,Closed Lost,22064.25,2024-12-23,mariana@raptorsoft.com,omit,2024-11-18,31,
OPP-2024032,Orbit,ACC-1104,Mid-Market,Closed Won,93710.63,2024-10-25,carlos@raptorsoft.com,Omit,2024-05-09,93,HS-90780
OPP-2024033,Vértice Tech,ACC-1103,Mid-Market,Closed Won,101614.89,2024-09-07,pedro@raptorsoft.com,Best Case,2024-04-09,6,HS-90129
OPP-2024034,tapflow,ACC-1115,SMB,Negotiation,21755.0,2023-03-08,pedro@raptorsoft.com,Omit,2023-07-13,7,HS-90087
OPP-2024035,nexus,ACC-1102,Mid-Market,Closed Lost,83126.52,2024-07-22,joao@raptorsoft.com,Pipeline,2024-02-17,27,
OPP-2024036,Mindbox,ACC-1111,SMB,Proposal,21446.94,2023-08-28,pedro@raptorsoft.com,Commit,2024-08-22,120,
OPP-2024037,Fluxo Sistemas Ltda,ACC-1105,SMB,Qualification,25826.54,2024-12-22,pedro@raptorsoft.com,Omit,2023-08-31,57,
OPP-2024038,Fluxo Sistemas Ltda,ACC-1105,SMB,Closed Lost,14432.89,2024-10-16,mariana@raptorsoft.com,Best Case,2023-07-22,63,
OPP-2024039,Grupo Nexus,ACC-1102,SMB,Closed Won,28190.42,2024-09-16,pedro@raptorsoft.com,omit,2024-08-25,1,
